Organism_Name,Month,FY,Total_Specimens,CO_Specimens,HO_Specimens,Mon_Pop,Mon_Total_Pop_Rate,Mon_HO_Pop_Rate,Mon_Adm,Mon_Total_Adm_Rate,Mon_HO_Adm_Rate
C. difficile,Dec,2022/23,83,33,50,265974.90411,31.21,18.8,36993,2.24,1.35
E. coli bacteraemia,Dec,2022/23,148,103,45,265974.90411,55.64,16.92,36993,4.0,1.22
Gram negative bacteraemia,Dec,2022/23,219,149,70,265974.90411,82.34,26.32,36993,5.92,1.89
Klebsiella sp bacteraemia,Dec,2022/23,63,40,23,265974.90411,23.69,8.65,36993,1.7,0.62
MRSA bacteraemia,Dec,2022/23,8,5,3,265974.90411,3.01,1.13,36993,0.22,0.08
MSSA bacteraemia,Dec,2022/23,64,34,30,265974.90411,24.06,11.28,36993,1.73,0.81
P. aeruginosa bacteraemia,Dec,2022/23,8,6,2,265974.90411,3.01,0.75,36993,0.22,0.05
S. aureus bacteraemia,Dec,2022/23,72,39,33,265974.90411,27.07,12.41,36993,1.95,0.89
C. difficile,Dec,2023/24,88,50,38,268757.60001,32.74,14.14,38183,2.3,1.0
E. coli bacteraemia,Dec,2023/24,186,136,50,268757.60001,69.21,18.6,38183,4.87,1.31
Gram negative bacteraemia,Dec,2023/24,267,186,81,268757.60001,99.35,30.14,38183,6.99,2.12
Klebsiella sp bacteraemia,Dec,2023/24,68,44,24,268757.60001,25.3,8.93,38183,1.78,0.63
MRSA bacteraemia,Dec,2023/24,4,1,3,268757.60001,1.49,1.12,38183,0.1,0.08
MSSA bacteraemia,Dec,2023/24,73,55,18,268757.60001,27.16,6.7,38183,1.91,0.47
P. aeruginosa bacteraemia,Dec,2023/24,13,6,7,268757.60001,4.84,2.6,38183,0.34,0.18
S. aureus bacteraemia,Dec,2023/24,77,56,21,268757.60001,28.65,7.81,38183,2.02,0.55
C. difficile,Dec,2024/25,115,49,66,268023.28961,42.91,24.62,37945,3.03,1.74
E. coli bacteraemia,Dec,2024/25,157,114,43,268023.28961,58.58,16.04,37945,4.14,1.13
Gram negative bacteraemia,Dec,2024/25,237,162,75,268023.28961,88.43,27.98,37945,6.25,1.98
Klebsiella sp bacteraemia,Dec,2024/25,66,42,24,268023.28961,24.62,8.95,37945,1.74,0.63
MRSA bacteraemia,Dec,2024/25,7,3,4,268023.28961,2.61,1.49,37945,0.18,0.11
MSSA bacteraemia,Dec,2024/25,60,42,18,268023.28961,22.39,6.72,37945,1.58,0.47
P. aeruginosa bacteraemia,Dec,2024/25,14,6,8,268023.28961,5.22,2.98,37945,0.37,0.21
S. aureus bacteraemia,Dec,2024/25,67,45,22,268023.28961,25.0,8.21,37945,1.77,0.58
C. difficile,Feb,2020/21,67,40,27,243146.32328,27.56,11.1,26855,2.49,1.01
E. coli bacteraemia,Feb,2020/21,120,89,31,243146.32328,49.35,12.75,26855,4.47,1.15
Gram negative bacteraemia,Feb,2020/21,168,115,53,243146.32328,69.09,21.8,26855,6.26,1.97
Klebsiella sp bacteraemia,Feb,2020/21,41,23,18,243146.32328,16.86,7.4,26855,1.53,0.67
MRSA bacteraemia,Feb,2020/21,4,4,0,243146.32328,1.65,0.0,26855,0.15,0.0
